,precision,recall,f1-score,support
A甲1312,1.0,1.0,1.0,18.0
A甲1314,0.8888888888888888,1.0,0.9411764705882353,16.0
A甲1333,1.0,0.875,0.9333333333333333,16.0
A甲14,1.0,1.0,1.0,15.0
A甲1495,1.0,1.0,1.0,15.0
A甲15,1.0,1.0,1.0,17.0
A甲1541,1.0,1.0,1.0,15.0
A甲177,1.0,0.9375,0.967741935483871,16.0
A甲201,1.0,1.0,1.0,15.0
A甲203,1.0,1.0,1.0,15.0
A甲211,0.8333333333333334,1.0,0.9090909090909091,15.0
A甲274,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
A甲284,1.0,1.0,1.0,15.0
A甲290,1.0,1.0,1.0,15.0
A甲309,1.0,1.0,1.0,15.0
A甲32,1.0,1.0,1.0,15.0
A甲349,0.7894736842105263,1.0,0.8823529411764706,15.0
A甲354,1.0,1.0,1.0,16.0
A甲356,1.0,1.0,1.0,16.0
A甲357,1.0,0.875,0.9333333333333333,16.0
A甲363,1.0,1.0,1.0,15.0
A甲365,1.0,0.9333333333333333,0.9655172413793104,15.0
A甲370,1.0,1.0,1.0,15.0
A甲379,0.9375,1.0,0.967741935483871,15.0
A甲387,1.0,0.875,0.9333333333333333,16.0
A甲388,1.0,1.0,1.0,15.0
A甲395,1.0,1.0,1.0,15.0
A甲546,1.0,1.0,1.0,15.0
A甲584,0.9375,1.0,0.967741935483871,15.0
A甲636,0.9375,1.0,0.967741935483871,15.0
A甲641,1.0,1.0,1.0,16.0
A甲659,1.0,0.9375,0.967741935483871,16.0
A甲679-6,1.0,1.0,1.0,15.0
A甲767,1.0,1.0,1.0,16.0
A甲788,1.0,1.0,1.0,16.0
A甲789,1.0,0.9333333333333333,0.9655172413793104,15.0
A甲795,0.9411764705882353,1.0,0.9696969696969697,16.0
A甲800,1.0,1.0,1.0,15.0
A甲811,1.0,1.0,1.0,16.0
A甲814,1.0,1.0,1.0,16.0
A甲886,0.9411764705882353,1.0,0.9696969696969697,16.0
A甲893,1.0,1.0,1.0,16.0
A甲898,0.9411764705882353,1.0,0.9696969696969697,16.0
A甲899,1.0,1.0,1.0,15.0
A甲907,1.0,0.875,0.9333333333333333,16.0
A甲96,1.0,0.9375,0.967741935483871,16.0
B甲1009,1.0,1.0,1.0,15.0
B甲1010,1.0,1.0,1.0,15.0
B甲104,1.0,1.0,1.0,16.0
B甲167,1.0,0.8125,0.896551724137931,16.0
B甲172,1.0,1.0,1.0,16.0
B甲349,1.0,1.0,1.0,15.0
B甲355,1.0,0.9333333333333333,0.9655172413793104,15.0
B甲372,1.0,1.0,1.0,15.0
B甲414,1.0,1.0,1.0,15.0
B甲58,1.0,0.875,0.9333333333333333,16.0
B甲59,0.7272727272727273,1.0,0.8421052631578948,16.0
B甲741,1.0,1.0,1.0,15.0
B甲771,1.0,0.9333333333333333,0.9655172413793104,15.0
B甲87,1.0,1.0,1.0,16.0
B甲871,1.0,1.0,1.0,15.0
B甲888,1.0,1.0,1.0,15.0
B甲891,1.0,1.0,1.0,15.0
B甲892,1.0,1.0,1.0,15.0
B甲94,1.0,1.0,1.0,17.0
B甲97,1.0,1.0,1.0,16.0
B甲994,1.0,1.0,1.0,16.0
B甲996,1.0,1.0,1.0,15.0
C甲18-1,1.0,1.0,1.0,15.0
C甲6,1.0,1.0,1.0,15.0
C甲67,1.0,1.0,1.0,16.0
C甲69,1.0,1.0,1.0,15.0
E甲206,0.40625,0.8666666666666667,0.5531914893617021,15.0
E甲209,0.3076923076923077,0.26666666666666666,0.28571428571428575,15.0
E甲215,1.0,1.0,1.0,16.0
E甲217,0.0,0.0,0.0,15.0
E甲223,1.0,0.7333333333333333,0.846153846153846,15.0
E甲252,1.0,1.0,1.0,15.0
E甲258-1,1.0,1.0,1.0,15.0
E甲258-2,1.0,1.0,1.0,15.0
E甲259-1,1.0,1.0,1.0,15.0
E甲259-2,1.0,1.0,1.0,15.0
E甲259-4,1.0,1.0,1.0,15.0
E甲259-7,1.0,1.0,1.0,15.0
E甲259-8,1.0,1.0,1.0,15.0
E甲286,1.0,1.0,1.0,16.0
E甲32,1.0,1.0,1.0,16.0
E甲48,1.0,1.0,1.0,16.0
E甲51,1.0,1.0,1.0,15.0
G甲200,1.0,1.0,1.0,15.0
G甲208,1.0,1.0,1.0,15.0
G甲221,1.0,1.0,1.0,15.0
G甲227,1.0,1.0,1.0,15.0
G甲238,1.0,1.0,1.0,15.0
G甲242,1.0,0.9333333333333333,0.9655172413793104,15.0
G甲337,1.0,1.0,1.0,15.0
G甲343,1.0,1.0,1.0,15.0
G甲365,1.0,1.0,1.0,16.0
G甲399,0.9375,1.0,0.967741935483871,15.0
G甲400,1.0,0.9375,0.967741935483871,16.0
G甲407,1.0,1.0,1.0,16.0
G甲488,1.0,1.0,1.0,15.0
G甲491,1.0,1.0,1.0,15.0
H乙8,1.0,1.0,1.0,15.0
H甲104,1.0,1.0,1.0,16.0
H甲105,1.0,1.0,1.0,16.0
H甲108,1.0,1.0,1.0,15.0
H甲121,1.0,1.0,1.0,15.0
H甲24,1.0,1.0,1.0,16.0
H甲31,1.0,1.0,1.0,16.0
H甲35,1.0,1.0,1.0,15.0
H甲60,1.0,1.0,1.0,16.0
H甲92-33,1.0,1.0,1.0,15.0
I甲10,1.0,1.0,1.0,15.0
I甲308,1.0,1.0,1.0,15.0
I甲340,1.0,1.0,1.0,15.0
I甲366,1.0,1.0,1.0,16.0
I甲368,1.0,1.0,1.0,15.0
I甲402,1.0,1.0,1.0,15.0
I甲428,1.0,1.0,1.0,15.0
I甲567,1.0,1.0,1.0,16.0
I甲68-20,1.0,0.9333333333333333,0.9655172413793104,15.0
I甲68-3,1.0,1.0,1.0,16.0
I甲717,1.0,1.0,1.0,15.0
J甲216-34,1.0,1.0,1.0,15.0
J甲216-43,1.0,1.0,1.0,16.0
J甲216-45,1.0,1.0,1.0,15.0
J甲216-5,1.0,1.0,1.0,15.0
J甲216-7,1.0,1.0,1.0,16.0
J甲253-33,1.0,1.0,1.0,15.0
J甲253-6,1.0,0.9333333333333333,0.9655172413793104,15.0
J甲253-7,0.9375,1.0,0.967741935483871,15.0
J甲253-8,1.0,1.0,1.0,15.0
J甲274-1,1.0,1.0,1.0,16.0
J甲274-6,1.0,1.0,1.0,16.0
J甲274-7,1.0,1.0,1.0,15.0
J甲280,1.0,1.0,1.0,16.0
J甲281,1.0,1.0,1.0,15.0
J甲288-1,1.0,1.0,1.0,15.0
J甲288-3,1.0,1.0,1.0,15.0
J甲307,1.0,1.0,1.0,15.0
J甲319,1.0,1.0,1.0,16.0
J甲331,1.0,1.0,1.0,15.0
J甲356-1,0.75,1.0,0.8571428571428571,15.0
J甲392,1.0,1.0,1.0,15.0
J甲392-1,1.0,1.0,1.0,16.0
J甲392-4,1.0,1.0,1.0,15.0
J甲408,1.0,1.0,1.0,15.0
J甲447-4,1.0,1.0,1.0,15.0
J甲463,1.0,1.0,1.0,15.0
J甲474,1.0,1.0,1.0,16.0
J甲92-1,1.0,1.0,1.0,15.0
J甲92-6,1.0,1.0,1.0,15.0
M甲157-12,0.8333333333333334,1.0,0.9090909090909091,15.0
M甲157-14,1.0,0.9375,0.967741935483871,16.0
M甲157-16,0.9333333333333333,0.875,0.9032258064516129,16.0
M甲157-18,0.9411764705882353,1.0,0.9696969696969697,16.0
M甲157-2,0.9230769230769231,0.8,0.8571428571428571,15.0
M甲162,1.0,1.0,1.0,15.0
M甲173,1.0,1.0,1.0,15.0
accuracy,0.9744006501422187,0.9744006501422187,0.9744006501422187,0.9744006501422187
